Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
32,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,22,2002,15,9,835,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
33,Jonas Adjetey,gh GHA,DF,Wolfsburg,de Bundesliga,21,2003,4,1,137,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
34,Amine Adli,ma MAR,MF,Bournemouth,eng Premier League,25,2000,31,10,"1,094",12.2,3,1,4,3,0,0,2,0,0.25,0.08,0.33,0.25,0.33,Matches
35,Adrián,es ESP,GK,Real Betis,es La Liga,38,1987,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
36,Vasilije Adžić,me MNE,MF,Juventus,it Serie A,19,2006,10,1,171,1.9,1,0,1,1,0,0,0,0,0.53,0,0.53,0.53,0.53,Matches
37,Michel Aebischer,ch SUI,MF,Pisa,it Serie A,28,1997,35,33,"2,892",32.1,1,2,3,1,0,0,8,0,0.03,0.06,0.09,0.03,0.09,Matches
38,David Affengruber,at AUT,DF,Elche,es La Liga,24,2001,36,33,"2,949",32.8,1,1,2,1,0,0,7,1,0.03,0.03,0.06,0.03,0.06,Matches
39,Dapo Afolayan,eng ENG,MF,St Pauli,de Bundesliga,27,1997,7,1,150,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
40,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,28,1997,14,12,"1,101",12.2,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches
41,Julen Agirrezabala,es ESP,GK,Valencia,es La Liga,24,2000,18,18,"1,620",18,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
42,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,23,2002,34,31,"2,686",29.8,1,3,4,1,0,0,12,0,0.03,0.1,0.13,0.03,0.13,Matches
